date,ip,cvss,asn,size
2025-08-01,10.0.2.101,3.0,65000,256
2025-08-01,10.0.2.31,3.0,65000,256
2025-08-02,10.0.2.244,3.0,65000,256
2025-08-02,10.0.2.73,3.0,65000,256
2025-08-03,10.0.2.199,3.0,65000,256
2025-08-03,10.0.2.250,3.0,65000,256
2025-08-04,10.0.2.135,3.0,65000,256
2025-08-04,10.0.2.14,3.0,65000,256
2025-08-06,10.0.2.205,3.0,65000,256
2025-08-06,10.0.2.35,3.0,65000,256
2025-08-07,10.0.2.179,3.0,65000,256
2025-08-07,10.0.2.207,3.0,65000,256
2025-08-08,10.0.2.129,3.0,65000,256
2025-08-08,10.0.2.163,3.0,65000,256
2025-08-09,10.0.2.106,3.0,65000,256
2025-08-09,10.0.2.129,3.0,65000,256
2025-08-10,10.0.2.139,3.0,65000,256
2025-08-10,10.0.2.195,3.0,65000,256
2025-08-11,10.0.2.74,3.0,65000,256
2025-08-11,10.0.2.78,3.0,65000,256
2025-08-12,10.0.2.249,3.0,65000,256
2025-08-12,10.0.2.56,3.0,65000,256
2025-08-13,10.0.2.138,3.0,65000,256
2025-08-13,10.0.2.206,3.0,65000,256
2025-08-14,10.0.2.140,3.0,65000,256
2025-08-14,10.0.2.232,3.0,65000,256
2025-08-15,10.0.2.170,3.0,65000,256
2025-08-15,10.0.2.2,3.0,65000,256
2025-08-16,10.0.2.125,3.0,65000,256
2025-08-16,10.0.2.166,3.0,65000,256
2025-08-17,10.0.2.50,3.0,65000,256
2025-08-17,10.0.2.6,3.0,65000,256
2025-08-18,10.0.2.114,3.0,65000,256
2025-08-18,10.0.2.51,3.0,65000,256
2025-08-19,10.0.2.149,3.0,65000,256
2025-08-19,10.0.2.218,3.0,65000,256
2025-08-21,10.0.2.138,3.0,65000,256
2025-08-21,10.0.2.204,3.0,65000,256
2025-08-22,10.0.2.10,3.0,65000,256
2025-08-22,10.0.2.145,3.0,65000,256
2025-08-23,10.0.2.115,3.0,65000,256
2025-08-23,10.0.2.55,3.0,65000,256
2025-08-24,10.0.2.7,3.0,65000,256
2025-08-24,10.0.2.77,3.0,65000,256
2025-08-27,10.0.2.102,3.0,65000,256
2025-08-27,10.0.2.138,3.0,65000,256
2025-08-29,10.0.2.253,3.0,65000,256
2025-08-29,10.0.2.37,3.0,65000,256
2025-08-31,10.0.2.100,3.0,65000,256
2025-08-31,10.0.2.127,3.0,65000,256
2025-09-01,10.0.2.103,3.0,65000,256
2025-09-01,10.0.2.40,3.0,65000,256
2025-09-02,10.0.2.182,3.0,65000,256
2025-09-02,10.0.2.216,3.0,65000,256
2025-09-03,10.0.2.133,3.0,65000,256
2025-09-03,10.0.2.211,3.0,65000,256
2025-09-04,10.0.2.109,3.0,65000,256
2025-09-04,10.0.2.122,3.0,65000,256
2025-09-05,10.0.2.100,3.0,65000,256
2025-09-05,10.0.2.167,3.0,65000,256
2025-09-06,10.0.2.122,3.0,65000,256
2025-09-06,10.0.2.228,3.0,65000,256
2025-09-07,10.0.2.225,3.0,65000,256
2025-09-07,10.0.2.232,3.0,65000,256
2025-09-08,10.0.2.221,3.0,65000,256
2025-09-08,10.0.2.42,3.0,65000,256
2025-09-09,10.0.2.96,3.0,65000,256
2025-09-09,10.0.2.97,3.0,65000,256
2025-09-11,10.0.2.164,3.0,65000,256
2025-09-11,10.0.2.230,3.0,65000,256
2025-09-12,10.0.2.163,3.0,65000,256
2025-09-12,10.0.2.21,3.0,65000,256
2025-09-14,10.0.2.221,3.0,65000,256
2025-09-14,10.0.2.85,3.0,65000,256
2025-09-16,10.0.2.163,3.0,65000,256
2025-09-16,10.0.2.25,3.0,65000,256
2025-09-18,10.0.2.201,3.0,65000,256
2025-09-18,10.0.2.4,3.0,65000,256
2025-09-19,10.0.2.64,3.0,65000,256
2025-09-19,10.0.2.87,3.0,65000,256
2025-09-20,10.0.2.178,3.0,65000,256
2025-09-20,10.0.2.89,3.0,65000,256
2025-09-21,10.0.2.184,3.0,65000,256
2025-09-21,10.0.2.75,3.0,65000,256
2025-09-22,10.0.2.13,3.0,65000,256
2025-09-22,10.0.2.149,3.0,65000,256
2025-09-23,10.0.2.215,3.0,65000,256
2025-09-23,10.0.2.81,3.0,65000,256
2025-09-25,10.0.2.198,3.0,65000,256
2025-09-25,10.0.2.68,3.0,65000,256
2025-09-26,10.0.2.151,3.0,65000,256
2025-09-26,10.0.2.184,3.0,65000,256
2025-09-28,10.0.2.141,3.0,65000,256
2025-09-28,10.0.2.200,3.0,65000,256
