date,ip,cvss,asn,size
2025-08-02,10.0.1.128,3.0,65000,256
2025-08-05,10.0.1.247,3.0,65000,256
2025-08-21,10.0.1.10,10.0,65000,256
2025-08-21,10.0.1.108,10.0,65000,256
2025-08-21,10.0.1.125,10.0,65000,256
2025-08-21,10.0.1.126,10.0,65000,256
2025-08-21,10.0.1.138,10.0,65000,256
2025-08-21,10.0.1.143,10.0,65000,256
2025-08-21,10.0.1.173,10.0,65000,256
2025-08-21,10.0.1.174,10.0,65000,256
2025-08-21,10.0.1.186,10.0,65000,256
2025-08-21,10.0.1.193,10.0,65000,256
2025-08-21,10.0.1.195,10.0,65000,256
2025-08-21,10.0.1.199,10.0,65000,256
2025-08-21,10.0.1.205,10.0,65000,256
2025-08-21,10.0.1.209,10.0,65000,256
2025-08-21,10.0.1.214,10.0,65000,256
2025-08-21,10.0.1.226,10.0,65000,256
2025-08-21,10.0.1.228,10.0,65000,256
2025-08-21,10.0.1.231,10.0,65000,256
2025-08-21,10.0.1.232,10.0,65000,256
2025-08-21,10.0.1.236,10.0,65000,256
2025-08-21,10.0.1.242,10.0,65000,256
2025-08-21,10.0.1.244,10.0,65000,256
2025-08-21,10.0.1.248,10.0,65000,256
2025-08-21,10.0.1.254,10.0,65000,256
2025-08-21,10.0.1.29,10.0,65000,256
2025-08-21,10.0.1.3,10.0,65000,256
2025-08-21,10.0.1.31,10.0,65000,256
2025-08-21,10.0.1.41,10.0,65000,256
2025-08-21,10.0.1.44,10.0,65000,256
2025-08-21,10.0.1.59,10.0,65000,256
2025-08-21,10.0.1.64,10.0,65000,256
2025-08-21,10.0.1.69,10.0,65000,256
2025-08-21,10.0.1.73,10.0,65000,256
2025-08-21,10.0.1.78,10.0,65000,256
2025-08-21,10.0.1.80,10.0,65000,256
2025-08-21,10.0.1.81,10.0,65000,256
2025-08-21,10.0.1.83,10.0,65000,256
2025-08-21,10.0.1.85,10.0,65000,256
2025-08-21,10.0.1.88,10.0,65000,256
2025-08-21,10.0.1.89,10.0,65000,256
2025-08-24,10.0.1.124,1.0,65000,256
2025-08-28,10.0.1.179,1.0,65000,256
2025-09-05,10.0.1.118,5.0,65000,256
2025-09-05,10.0.1.207,5.0,65000,256
2025-09-05,10.0.1.229,5.0,65000,256
2025-09-05,10.0.1.7,5.0,65000,256
2025-09-05,10.0.1.80,5.0,65000,256
2025-09-09,10.0.1.4,3.0,65000,256
2025-09-26,10.0.1.152,3.0,65000,256
